"Tabela 7511 - Produção Física Industrial, por grupos e classes industriais selecionados"
"Variável - PIMPF - Número-índice (2012=100) (Número-índice)"
"Brasil"
"Mês";"Grupos e classes industriais"
"Mês";"10.1 Abate e fabricação de produtos de carne";"10.11 Abate de reses, exceto suínos";"10.12 Abate de suínos, aves e outros pequenos animais";"10.13 Fabricação de produtos de carne";"10.3 Fabricação de conservas de frutas, legumes e outros vegetais";"10.4 Fabricação de óleos e gorduras vegetais e animais";"10.41 Fabricação de óleos vegetais em bruto, exceto óleo de milho";"10.42 Fabricação de óleos vegetais refinados, exceto óleo de milho";"10.43 Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais";"10.5 Laticínios";"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais";"10.61 Beneficiamento de arroz e fabricação de produtos do arroz";"10.62 Moagem de trigo e fabricação de derivados";"10.7 Fabricação e refino de açúcar";"10.8 Torrefação e moagem de café";"10.2 e 10.9 Preservação do pescado, fabricação de produtos do pescado e de outros produtos alimentícios";"11.1 Fabricação de bebidas alcoólicas";"11.2 Fabricação de bebidas não alcoólicas";"13.1 Preparação e fiação de fibras têxteis";"13.2 Tecelagem, exceto malha";"13.3 Fabricação de tecidos de malha";"13.5 Fabricação de artefatos têxteis, exceto vestuário";"14.1 Confecção de artigos do vestuário e acessórios";"14.2 Fabricação de artigos de malharia e tricotagem";"15.1 Curtimento e outras preparações de couro";"15.3 e 15.4 Fabricação de calçados e de partes para calçados de qualquer material";"16.1 Desdobramento de madeira";"16.2 Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis";"17.1 Fabricação de celulose e outras pastas para a fabricação de papel";"17.2 Fabricação de papel, cartolina e papel-cartão";"17.3 Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado";"17.4 Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado";"18.1 Atividade de impressão";"18.3 Reprodução de materiais gravados em qualquer suporte";"19.2 Fabricação de produtos derivados do petróleo";"19.3 Fabricação de biocombustíveis";"20.1 Fabricação de produtos químicos inorgânicos";"20.11 Fabricação de cloro e álcalis";"20.12 Fabricação de intermediários para fertilizantes";"20.13 Fabricação de adubos e fertilizantes";"20.14 Fabricação de gases industriais";"20.2 Fabricação de produtos químicos orgânicos";"20.3 e 20.4 Fabricação de resinas e elastômeros e de fibras artificiais e sintéticas";"20.5 Fabricação de defensivos agrícolas e desinfestantes domissanitários";"20.6 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal";"20.61 Fabricação de sabões e detergentes sintéticos";"20.62 Fabricação de produtos de limpeza e polimento";"20.63 Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal";"20.7 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins";"20.9 Fabricação de produtos e preparados químicos diversos";"22.1 Fabricação de produtos de borracha";"22.11 Fabricação de pneumáticos e de câmaras-de-ar";"22.2 Fabricação de produtos de material plástico";"22.21 Fabricação de laminados planos e tubulares de material plástico";"22.22 Fabricação de embalagens de material plástico";"22.23 Fabricação de tubos e acessórios de material plástico para uso na construção";"23.1 Fabricação de vidro e de produtos do vidro";"23.11 Fabricação de vidro plano e de segurança";"23.2 Fabricação de cimento";"23.3 Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes";"23.4 Fabricação de produtos cerâmicos";"23.9 Aparelhamento de pedras e fabricação de outros produtos de minerais não metálicos";"24.1 Produção de ferro-gusa e de ferroligas";"24.2 Siderurgia";"24.3 Produção de tubos de aço, exceto tubos sem costura";"24.4 Metalurgia dos metais não ferrosos";"24.5 Fundição";"25.1 Fabricação de estruturas metálicas e obras de caldeiraria pesada";"25.2 Fabricação de tanques, reservatórios metálicos e caldeiras";"25.3 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais";"25.4 Fabricação de artigos de cutelaria, de serralheria e ferramentas";"25.5 e 25.9 - Fabricação de equipamento bélico pesado, armas e munições e de produtos de metal não especificados anteriormente";"25.91 Fabricação de embalagens metálicas";"25.92 Fabricação de produtos de trefilados de metal";"26.1 Fabricação de componentes eletrônicos";"26.2 Fabricação de equipamentos de informática e periféricos";"26.3 Fabricação de equipamentos de comunicação";"26.4 Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo";"26.5 Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios";"27.1 Fabricação de geradores, transformadores e motores elétricos";"27.2 Fabricação de pilhas, baterias e acumuladores elétricos";"27.3 Fabricação de equipamentos para distribuição e controle de energia elétrica";"27.4 Fabricação de lâmpadas e outros equipamentos de iluminação";"27.5 Fabricação de eletrodomésticos";"27.51 Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico";"27.59 Fabricação de aparelhos eletrodomésticos não especificados anteriormente";"27.9 Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente";"28.1 Fabricação de motores, bombas, compressores e equipamentos de transmissão";"28.2 Fabricação de máquinas e equipamentos de uso geral";"28.3 Fabricação de tratores e de máquinas e equipamentos para a agricultura e pecuária";"28.4 Fabricação de máquinas-ferramenta";"28.5 Fabricação de máquinas e equipamentos de uso na extração mineral e na construção";"28.6 Fabricação de máquinas e equipamentos de uso industrial específico";"29.1 Fabricação de automóveis, camionetas e utilitários";"29.2 Fabricação de caminhões e ônibus";"29.3 Fabricação de cabines, carrocerias e reboques para veículos automotores";"29.4 Fabricação de peças e acessórios para veículos automotores";"31.0 Fabricação de móveis";"32.1 Fabricação de artigos de joalheria, bijuteria e semelhantes";"32.3 Fabricação de artefatos para pesca e esporte";"32.4 Fabricação de brinquedos e jogos recreativos";"32.5 Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos";"32.9 Fabricação de produtos diversos"
"janeiro 2002";"91,41";"119,93";"87,54";"70,87";"57,68";"49,71";"34,47";"89,79";"70,00";"105,84";"95,41";"65,18";"121,29";"34,33";"60,81";"-";"71,40";"54,24";"148,18";"114,63";"93,37";"-";"103,67";"49,16";"126,36";"-";"-";"102,58";"61,96";"83,61";"83,40";"70,34";"-";"-";"89,81";"15,11";"93,82";"100,45";"84,10";"81,28";"99,92";"-";"-";"64,89";"71,42";"69,75";"-";"71,94";"48,18";"-";"87,20";"104,94";"84,09";"-";"103,92";"63,73";"88,48";"73,78";"64,86";"67,29";"70,44";"91,03";"65,86";"88,47";"-";"-";"72,88";"-";"-";"66,86";"63,85";"-";"110,05";"83,06";"-";"49,79";"-";"79,12";"-";"-";"-";"-";"110,85";"50,42";"44,48";"96,77";"-";"69,01";"-";"63,04";"-";"34,66";"67,88";"46,49";"43,12";"66,69";"68,51";"79,26";"25,59";"-";"-";"-";"88,98"
"fevereiro 2002";"83,25";"110,59";"79,26";"66,33";"41,90";"69,55";"62,16";"105,02";"65,70";"91,22";"82,86";"57,32";"101,37";"34,06";"54,50";"-";"63,05";"52,95";"147,26";"116,79";"98,74";"-";"110,69";"55,42";"118,15";"-";"-";"88,16";"57,30";"76,44";"79,98";"59,71";"-";"-";"82,94";"11,37";"87,59";"103,34";"82,63";"75,42";"92,21";"-";"-";"40,51";"68,72";"65,43";"-";"70,36";"43,43";"-";"83,79";"100,62";"78,06";"-";"94,24";"61,10";"82,98";"71,99";"61,79";"63,46";"71,45";"84,11";"65,60";"85,35";"-";"-";"81,30";"-";"-";"66,89";"75,74";"-";"96,00";"85,87";"-";"49,54";"-";"78,99";"-";"-";"-";"-";"125,01";"48,61";"43,91";"85,26";"-";"76,14";"-";"69,37";"-";"41,25";"65,54";"45,83";"47,67";"63,09";"71,20";"67,69";"25,51";"-";"-";"-";"77,31"
"março 2002";"84,58";"115,53";"79,33";"72,77";"35,40";"99,64";"98,92";"136,22";"70,99";"92,75";"93,01";"68,52";"109,57";"26,52";"63,11";"-";"66,57";"55,17";"161,75";"125,78";"104,38";"-";"129,84";"64,81";"129,75";"-";"-";"103,74";"58,29";"83,60";"89,43";"66,40";"-";"-";"93,97";"10,87";"86,65";"101,45";"89,68";"61,93";"92,99";"-";"-";"40,83";"77,46";"79,61";"-";"75,87";"44,52";"-";"88,54";"106,11";"88,80";"-";"101,09";"77,43";"88,82";"80,74";"73,28";"69,01";"71,95";"90,19";"72,47";"90,05";"-";"-";"87,84";"-";"-";"72,27";"83,85";"-";"96,02";"89,10";"-";"45,16";"-";"93,07";"-";"-";"-";"-";"142,35";"53,82";"46,92";"107,69";"-";"78,19";"-";"79,30";"-";"45,17";"77,40";"55,92";"54,45";"68,70";"76,46";"79,82";"55,23";"-";"-";"-";"77,69"
"abril 2002";"90,68";"117,95";"86,58";"75,00";"37,21";"107,69";"108,52";"140,64";"76,59";"93,38";"94,47";"75,10";"117,12";"41,59";"63,10";"-";"71,19";"54,62";"173,06";"130,59";"105,11";"-";"138,94";"69,05";"131,03";"-";"-";"107,31";"59,34";"81,84";"88,43";"66,52";"-";"-";"89,86";"37,59";"80,74";"100,17";"86,47";"70,86";"69,78";"-";"-";"56,04";"74,74";"70,12";"-";"76,94";"58,41";"-";"93,84";"108,53";"94,76";"-";"105,79";"83,68";"86,37";"79,55";"71,58";"72,59";"72,04";"102,26";"70,99";"85,74";"-";"-";"94,89";"-";"-";"87,98";"101,00";"-";"101,43";"96,64";"-";"55,38";"-";"121,54";"-";"-";"-";"-";"165,07";"56,21";"48,09";"119,58";"-";"86,11";"-";"74,92";"-";"52,45";"76,23";"61,16";"57,72";"75,74";"80,05";"86,10";"74,19";"-";"-";"-";"77,73"
"maio 2002";"92,59";"128,44";"87,09";"73,06";"40,00";"106,18";"112,70";"125,99";"65,97";"88,27";"99,61";"76,91";"119,02";"115,44";"61,99";"-";"71,55";"53,63";"174,66";"124,93";"89,68";"-";"132,77";"71,37";"129,92";"-";"-";"106,87";"56,18";"80,67";"87,75";"63,62";"-";"-";"90,86";"123,64";"94,04";"95,82";"95,41";"104,00";"75,55";"-";"-";"51,59";"76,68";"70,86";"-";"81,01";"63,63";"-";"93,76";"110,56";"93,15";"-";"107,66";"75,37";"91,37";"82,06";"71,54";"72,18";"72,84";"101,50";"77,33";"94,26";"-";"-";"97,66";"-";"-";"86,28";"84,00";"-";"112,53";"92,60";"-";"49,06";"-";"112,52";"-";"-";"-";"-";"166,12";"46,63";"38,36";"111,19";"-";"86,91";"-";"75,32";"-";"55,25";"77,67";"56,32";"53,91";"68,78";"77,64";"80,47";"85,86";"-";"-";"-";"75,02"
"junho 2002";"90,01";"123,52";"84,69";"73,64";"73,87";"105,49";"109,40";"127,12";"73,04";"84,18";"95,27";"70,26";"118,35";"165,11";"60,18";"-";"64,50";"56,73";"153,64";"122,08";"88,10";"-";"124,75";"65,05";"125,21";"-";"-";"109,20";"64,67";"80,68";"79,80";"57,84";"-";"-";"84,74";"152,56";"101,75";"108,82";"87,64";"131,54";"81,19";"-";"-";"49,51";"71,63";"65,31";"-";"74,57";"53,84";"-";"84,76";"101,94";"82,72";"-";"96,92";"66,82";"86,97";"77,35";"67,90";"70,18";"70,95";"95,79";"81,16";"91,41";"-";"-";"94,20";"-";"-";"80,66";"83,90";"-";"90,67";"89,00";"-";"39,24";"-";"95,47";"-";"-";"-";"-";"174,73";"41,31";"33,10";"105,41";"-";"78,81";"-";"69,56";"-";"56,20";"74,31";"50,25";"49,59";"66,79";"71,13";"73,87";"73,72";"-";"-";"-";"68,15"
"julho 2002";"98,02";"128,46";"93,02";"84,75";"148,41";"107,06";"112,58";"120,39";"75,93";"90,36";"98,49";"73,59";"123,43";"183,17";"60,26";"-";"68,63";"52,19";"153,68";"129,09";"88,96";"-";"150,60";"67,95";"137,68";"-";"-";"116,65";"67,29";"78,61";"89,21";"73,12";"-";"-";"94,65";"159,39";"113,43";"112,08";"99,91";"158,38";"85,29";"-";"-";"58,79";"74,05";"72,42";"-";"73,90";"50,28";"-";"91,05";"109,83";"87,50";"-";"102,45";"71,20";"85,47";"72,34";"71,05";"80,33";"73,61";"96,94";"83,18";"97,02";"-";"-";"102,08";"-";"-";"86,74";"81,30";"-";"102,48";"95,47";"-";"58,71";"-";"97,01";"-";"-";"-";"-";"184,06";"45,46";"35,99";"119,36";"-";"84,02";"-";"74,33";"-";"54,48";"89,10";"50,42";"52,47";"71,16";"76,75";"82,24";"80,85";"-";"-";"-";"80,96"
"agosto 2002";"95,90";"125,02";"91,09";"83,55";"168,45";"109,06";"114,85";"125,00";"74,75";"97,09";"96,79";"78,77";"108,76";"187,56";"68,35";"-";"76,10";"59,08";"156,30";"131,03";"102,40";"-";"158,34";"73,41";"134,41";"-";"-";"117,54";"65,72";"85,08";"93,98";"75,43";"-";"-";"92,74";"161,00";"112,82";"109,27";"95,31";"159,38";"86,37";"-";"-";"78,41";"80,48";"78,43";"-";"80,29";"51,15";"-";"87,59";"105,33";"88,74";"-";"104,01";"74,59";"88,45";"75,03";"76,07";"81,16";"72,77";"102,47";"85,20";"98,72";"-";"-";"99,89";"-";"-";"76,71";"82,34";"-";"104,72";"93,74";"-";"36,12";"-";"98,15";"-";"-";"-";"-";"183,09";"53,99";"45,23";"122,33";"-";"85,48";"-";"83,20";"-";"51,38";"73,16";"47,86";"49,60";"62,60";"70,66";"82,88";"88,52";"-";"-";"-";"87,14"
"setembro 2002";"92,59";"139,61";"84,60";"74,76";"164,85";"99,67";"102,90";"119,20";"71,42";"94,57";"91,59";"77,62";"101,68";"177,88";"58,35";"-";"72,31";"61,19";"152,46";"124,96";"108,41";"-";"154,29";"68,50";"120,04";"-";"-";"112,51";"60,44";"79,01";"89,24";"75,05";"-";"-";"86,37";"147,98";"118,78";"113,56";"91,58";"164,43";"97,83";"-";"-";"79,71";"78,77";"71,43";"-";"83,90";"59,31";"-";"87,34";"104,41";"86,46";"-";"96,74";"78,76";"83,59";"67,79";"74,87";"77,98";"72,83";"96,56";"83,04";"99,25";"-";"-";"95,66";"-";"-";"74,81";"80,90";"-";"106,07";"94,01";"-";"32,74";"-";"97,46";"-";"-";"-";"-";"178,12";"56,66";"48,88";"117,39";"-";"84,23";"-";"94,77";"-";"44,84";"69,93";"54,10";"49,74";"61,23";"73,16";"87,14";"82,64";"-";"-";"-";"89,36"
"outubro 2002";"98,54";"144,04";"91,01";"79,34";"184,85";"102,34";"102,74";"131,82";"75,76";"100,74";"98,93";"84,84";"112,29";"190,07";"65,20";"-";"91,83";"75,43";"158,21";"146,29";"115,27";"-";"168,48";"66,19";"107,11";"-";"-";"124,10";"65,13";"85,54";"96,84";"79,68";"-";"-";"90,66";"147,14";"115,79";"119,83";"89,70";"147,78";"99,17";"-";"-";"64,38";"85,54";"77,20";"-";"92,83";"64,41";"-";"93,70";"110,10";"98,47";"-";"111,22";"88,22";"94,05";"77,45";"80,28";"87,12";"77,43";"101,32";"85,46";"103,97";"-";"-";"107,04";"-";"-";"86,97";"88,68";"-";"120,65";"101,99";"-";"30,72";"-";"108,55";"-";"-";"-";"-";"195,43";"64,29";"54,01";"144,51";"-";"92,51";"-";"107,29";"-";"48,67";"85,80";"60,66";"53,32";"73,74";"80,42";"104,50";"88,24";"-";"-";"-";"103,82"
